id;placename;groupmode;y_lat;x_long;personcount;place_category
1;Amur;P;54;128;2;Polygon
2;Andien, Annam;P;11.024559;106.389885;1;Point
3;Anhwei;P;31.916667;117.166667;1;Polygon
4;Annam;P;null;null;69;Polygon
5;Aoyama;P;34.6;136.2167;2;Point
6;Bac-Ninh, Tonkin;P;21.1833;106.05;11;Point
7;Baclieu;P;9.2833;105.7333;4;Point
8;Balanga;P;14.6833;120.55;1;Point
9;Banplasoi, Siam;P;13.366667;100.983056;1;Point
10;Banxang;P;19.871292;102.237943;1;Point
11;Baoha, Tonkin;P;22.190278;104.367778;1;Point
12;Baria, Cochin-China;P;10.510281;107.180676;1;Point
13;Batang Padang;P;4.083333;101.333333;3;Polygon
14;Batavia;P;-6.1333;106.75;1;Point
15;Battambang;P;13.1;103.2;1;Point
16;Batu Gajah;P;4.45;101.0333;2;Point
17;Bentré, Cochin-China;P;10.2333;106.3833;4;Point
18;Bienhoa, Cochin-China;P;10.9667;106.8333;4;Point
19;Binh-phu, Annam;P;15.625833;108.324167;1;Point
20;Blagowestschensk;P;50.3167;127.5;5;Point
21;Bongmieu, Annam;P;15.4167;108.4;6;Point
22;British North Borneo;P;5.5;117;90;Polygon
23;Brunei;P;4.5;114.6667;1;Polygon
24;Buichu, Tonkin;P;20.304301;106.337053;1;Point
25;Cabagan;P;17.4333;121.75;2;Point
26;Cagayan;P;18;121.8333;1;Polygon
27;Cambodge;P;13;105;57;Polygon
28;Cantho, Cochin China;P;10.0333;105.7833;6;Point
29;Canton;P;23.116667;113.25;178;Point
30;Caoayan;P;17.538221;120.395499;1;Point
31;Caobang, Tonkin;P;22.6667;106.2667;3;Point
32;Cap St. Jaques;P;10.35;107.0667;6;Point
33;Carlatan;P;16.635287;120.319692;1;Point
34;Cebu;P;10.321;123.754;76;Polygon
35;Ch'ing-chowfu;P;36.696667;118.479722;1;Point
36;Chaudoc, Cochin-China;P;10.7;105.05;3;Point
37;Chefoo;P;37.533333;121.4;104;Point
38;Chekiang;P;29.166667;120;48;Polygon
39;Chemulpo;P;37.4667;126.6333;24;Point
40;Chengku;P;33.149167;107.325833;1;Point
41;Chengtu;P;30.666667;104.066667;6;Point
42;Chernigowka;P;49.6167;129.95;1;Point
43;Chiangchew;P;24.913889;118.585833;1;Point
44;Chiangmai;P;18.8;98.9833;5;Point
45;Chichou;P;37.562222;115.558889;1;Point
46;Chihli;P;39;115.666667;37;Polygon
47;China;P;35;105;17;Polygon
48;Chinchow;P;41.107778;121.141667;2;Point
49;Chinkiang;P;32.210863;119.455076;52;Point
50;Chongtshun;P;22.53;113.35;1;Point
51;Chuchow-fu;P;28.959444;118.868611;3;Point
52;Chuki;P;32.325686;109.723369;1;Point
53;Chukshan;P;22.1875;108.578;1;Point
54;Chungkiang;P;31.03959;104.674476;1;Point
55;Chungking;P;29.562778;106.552778;45;Point
56;Corea;P;37;127.5;71;Polygon
57;Cua-vist, Annam;P;16.910499;107.174698;1;point
58;Cuatung, Annam;P;17.018088;107.096013;1;Point
59;Cumong, Annam;P;13.564466;109.25043;1;Point
60;Dapcau, Tonkin;P;21.202809;106.094734;1;Point
61;Donkabuang, Siam;P;13.811839;99.875949;1;Point
62;Donkho, Laos;P;15.153683;105.73844;1;Point
63;Etajima;P;34.25;132.5;1;Point
64;Faifo;P;15.9;108.3167;2;Point
65;Foochow;P;27.95999;116.333333;240;Point
66;Fukuoka;P;33.65;130.35;6;Point
67;Fukwing;P;22.670433;113.810683;1;Polygon
68;Funabashi;P;35.7;139.9833;1;Point
69;Fusan;P;35.0833;129.0333;2;Point
70;Gensan;P;39.152;127.443;2;Point
71;Gocong, Cochinchina;P;10.8333;106.8333;1;Point
72;Habarovsk, Siberia;P;48.5;135.1;1;Point
73;Hagiang, Tonkin;P;22.8333;104.9833;3;Point
74;Haichêng;P;40.851582;122.747537;1;Point
75;Haiduong, Tonkin;P;20.9333;106.3167;5;Point
76;Hainan;P;19.25;109.75;2;Polygon
77;Haininh, Tonkin;P;21.501;107.4296;2;Polygon
78;Haiphong;P;20.8667;106.6833;222;Point
79;Hakodate;P;41.7667;140.7333;36;Point
80;Hanam, Tonkin;P;20.533333;105.966667;6;Polygon
81;Hangchow;P;30.29365;120.161419;46;Point
82;Hanhong;P;36.6388;112.204;6;Polygon
83;Hankow;P;30.583333;114.266667;216;Point
84;Hanoi;P;21.0167;105.8667;239;Point
85;Hanyang;P;30.5397;114.2119;4;Point
86;Hatien;P;10.4;104.5;1;Point
87;Hiaokan;P;30.9167;113.9;2;Point
88;Hiephoa, Annam;P;15.586111;108.009722;1;Point
89;Hiogo;P;34.65;135.1667;3;Point
90;Hiroshima;P;34.3833;132.45;2;Point
91;Ho-tsin;P;35.58;110.699722;1;Point
92;Hoabinh;P;20.8167;105.3333;3;Point
93;Hochau;P;35.236111;110.139722;1;Point
94;Hoihow;P;20.045833;110.341667;27;Point
95;Hokow;P;22.538506;104.01109;2;Point
96;Hokshuha;P;23.721306;115.348822;1;Point
97;Honai;P;33.5;132.4167;1;Point
98;Honan;P;34;113.666667;9;Polygon
99;Honecohé;P;12.558293;109.217714;1;Point
100;Hong Yen;P;20.816667;106.05;5;Polygon
101;Hongay;P;20.95;107.1;3;Point
102;Honghoa;P;21.254511;105.286135;7;Point
