id;name;lat;long;value
1;Amoy;24.479794;118.081869;26
2;Annam;17.25;106.5;1
3;Antung;40.129167;124.394722;5
4;Bangkok;13.753;100.501;231
5;Batavia;-6.1333;106.75;53
6;Batu Gajah;4.45;101.0333;1
7;British North Borneo;5.5;117;62
8;Brunei;4.5;114.6667;13
9;Cambodge;13;105;1
10;Canton;23.116667;113.25;215
11;Cebu;10.321;123.754;55
12;Changchow;24.513333;117.655556;1
13;Changchun;43.886944;125.324722;2
14;Changsha;28.196111;112.972222;18
15;Changtu;42.293056;123.841389;1
16;Chefoo;37.533333;121.4;36
17;Chemulpo;37.4667;126.6333;4
18;China;35;105;29
19;Chinkiang;32.210863;119.455076;2
20;Chinnampo;38.737;125.407;2
21;Chinwangtao;39.931667;119.588333;7
22;Chosen;37;127.5;7
23;Chungking;29.562778;106.552778;21
24;Dairen;38.912222;121.602222;45
25;Davao;7.073;125.612;1
26;Federated Malay States;4;102.1;23
27;Foochow;27.95999;116.333333;54
28;Formosa;24;121;12
29;Haiphong;20.8667;106.6833;93
30;Hakodate;41.7667;140.7333;3
31;Hangchow;30.29365;120.161419;8
32;Hankow;30.583333;114.266667;233
33;Hanoi;21.0167;105.8667;22
34;Harbin;45.75;126.65;127
35;Hoihow;20.045833;110.341667;3
36;Hokow;22.538506;104.01109;1
37;Hongay;20.95;107.1;1
38;Hongkong;22.25;114.1667;1584
39;Hunchun;42.8675;130.358056;1
40;Ichang;30.77135;111.321458;8
41;Iloilo;10.7;122.5667;55
42;Ipoh;4.6;101.0333;5
43;Java;-7.491667;110.004444;1
44;Jesselton;5.9833;116.0667;6
45;Johore;2;103.5;73
46;Kedah;6;100.666667;43
47;Kelantan;5.333333;102;20
48;Kiukiang;29.733333;115.983333;1
49;Klang;3;101.45;1
50;Kluang;-2.6833;103.9;1
51;Kobe;34.6667;135.2;349
52;Kongmoon;22.583333;113.083333;5
53;Kowloon Frontier;22.3167;114.1833;2
54;Kuala Lipis;4.1833;102;2
55;Kuala Lumpur;3.1667;101.7;21
56;Kuantan;3.8333;103.3167;4
57;Kudat;6.883333;116.833333;1
58;Labuan;5.333333;115.2;5
59;Lappa;22.12;113.510114;1
60;Lungchow;22.4;106.9833;3
61;Macao;22.1667;113.55;13
62;Macassar;-5.15;119.4667;4
63;Malacca;2.25;102.25;74
64;Manila;14.6167;120.9667;1094
65;Medan;3.5833;98.65;15
66;Mengtsz;23.360024;103.43684;4
67;Moji;33.8667;130.8167;6
68;Mukden;41.792222;123.432778;60
69;Nagasaki;32.75;129.8667;14
70;Nagoya;35.1333;136.8833;5
71;Nanking;32.061667;118.777778;52
72;Negri Sembilan;2.75;102.166667;66
73;Newchwang;40.664823;122.228329;12
74;Ningpo;29.878186;121.549453;2
75;Osaka;34.6667;135.5;99
76;Otaru;43.2333;140.9833;6
77;Padang;-0.95;100.353056;16
78;Pahang;3.5;102.75;40
79;Pakhoi;21.483333;109.1;3
80;Palembang;-2.9833;104.75;1
81;Peiping;39.928819;116.388869;137
82;Pekan, Pahang;3.4833;103.3833;1
83;Penang;5.32623;100.321579;294
84;Perak;5;101;201
85;Philippines;13;122;5
86;Port Swettenham;3;101.4;6
87;Saigon;10.75;106.6667;157
88;Samshui;23.172804;112.833545;1
89;Sandakan;5.8667;118.0667;15
90;Santuao;26.641;119.677;1
91;Sarawak;2.5;113.5;93
92;Selangor;3.166667;101.5;301
93;Semarang;-6.9667;110.4833;28
94;Seoul;37.5333;127;47
95;Seremban;2.7;101.9;5
96;Shanghai;31.222222;121.458056;2551
97;Shasi;30.307222;112.244722;5
98;Shimonoseki;33.9833;130.9667;1
99;Siam;15;100;3
100;Singapore;1.3667;103.8;1207
101;Soochow;31.304077;120.59538;5
102;Sourabaya;-7.2333;112.75;40
103;Straits Settlements;3.65;101.55;6
104;Sumatra;null;null;64
105;Swatow;23.36814;116.71479;39
106;Taikoku;25.047;121.525;1
107;Taku;33.2833;130.1333;1
108;Telok Anson;4.0333;101.0167;1
109;Tengyueh;24.994923;98.512759;3
110;Tientsin;39.142222;117.176667;515
111;Tokyo;35.75;139.5;312
112;Tonkin;22;105;7
113;Tourane;16.0667;108.2333;2
114;Trengganu;5;103;12
115;Tsinan;36.683333;117.05;18
116;Tsingtao;36.066049;120.369393;87
117;Vladivostok;43.15;131.8833;9
118;Weihaiwei;37.509136;122.113557;6
119;Wenchow;27.999416;120.66682;2
120;Wuchow;23.483333;111.316667;9
121;Wuhu;32.661111;117.266667;7
122;Yochow;29.3833;113.05;1
123;Yokohoma;35.4667;139.6333;196
124;Yunnanfu;25.038889;102.718333;19
125;Zamboanga;6.9167;122.0833;20
