Occurence	Status	
A	OCR SHORT?	
absent)	PARSING ERROR	
Admiral’s Staff U.S. Squadron	SHIP	
Aduana, Cebu	ADDED	
Æolus	SHIP	
aide-de-camp to French Admiral	PARSING ERROR	
Albay, Philippines	ADDED	
Alger	SHIP	
Amoy (absent)	ADDED	
Amoy and Formosa	TWO PLACES	
Amoy and Tamsui	TWO PLACES	
Amur, Eastern Siberia	ADDED	
An-shuen, Kweichow	ADDED	
and	PARSING ERROR	
and Bangkok	OCR SHORT?	
and vicar of Eastern Shantung	NO LOCATION	
Archer	SHIP	
Arcona	SHIP	
Ayuthia, Siam	ADDED	
Balek Pulan, Penang	ADDED	
Bandau, British North Borneo	ADDED	
Bang	OCR SHORT?	
Bang]	OCR ERROR	
Bangkok and Singapore	TWO PLACES	
Banguey, British North Borneo	ADDED	
Batan Padang, Perak	ADDED	
Batangas, Philippines	ADDED	
Battambang, Siam	ADDED	
Batu Gajah, Kinta, Perak	ADDED	
Batu Gojah, Perak	ADDED	
Ben Thuy, Annam	ADDED	
Ben-thuy, Annam	ADDED	
Benkoka River, Br. North Borneo	NO LOCATION	
Benthuy, Annam	ADDED	
Bêntré, Cochin-China	ADDED	
Bienhoa, Cochin-China	ADDED	
Bilit, B. N. Borneo	ADDED	
Binh-phu, Annam	ADDED	
bishop of Cebu	NO LOCATION	
Blagowechensk, Siberia	ADDED	
Blagowestschensk	ADDED	
Blagowestschensk, Eastern Siberia	ADDED	
Bongau, British North Borneo	ADDED	
Brunei, Borneo	ADDED	
Bulacan, Philippines	ADDED	
Bundu, British North Borneo	ADDED	
Cac Ba, Tonkin	ADDED	
Cagayan, Philippines	ADDED	
Calbayog, Philippines	ADDED	
Calboyog, Philippines	ADDED	
Camkhé, Tonkin	ADDED	
Canthó, Cochinchine	ADDED	
Canton ana M	TWO PLACES	
Canton and Hongkong	TWO PLACES	
Canton and Macao	TWO PLACES	
Canton river	NO LOCATION	
Cape of Good Hope, Amoy		only the south afican one could be found 
Cape St. James	ADDED	
Cebù	ADDED	
Centurion	SHIP	
Ch'aoyang, Mongolia	ADDED	
Ch'ing-chou-fu, Shantung	ADDED	
Ch'ingchou-fu, Shantung	ADDED	
Chabaroffsk, Siberia	ADDED	
Chandoc, Cochin-China	ADDED	
Changshan, Chekiang	ADDED	
Chantabun, Siam	ADDED	
Charleston	SHIP	
Chaudoc, Cochin-China	ADDED	
Chenan, Southern Hupeh	ADDED	
Chengmai, Siam	ADDED	
Cheo-kia-kéo, Honan	ADDED	
Chiang-chiu, Fuhkien	ADDED	
Chiangpei, Szechuen	ADDED	
Chichou, Chilhi	ADDED	
chief post and telegraph	NO LOCATION	
Chiengmai, Siam	ADDED	
China coast	NO LOCATION	
China Coast	NO LOCATION	
Chinanfoo, Shantung	ADDED	
Chingkiang	ADDED	
Chinkiang and Wuhu	TWO PLACES	
Chinkiang.	ADDED	
Cho-bo, Tonkin	ADDED	
Chobo, Tonkin	ADDED	
Chofu, Japan	ADDED	
Cholon, Cochin China	ADDED	
Cholon, Cochin-China	ADDED	
Choquan, Cochin China	ADDED	
Choquan, Cochin-China	ADDED	
Chuchow-fu, Chekiang	ADDED	
commander H. B. M. S. despatch vessel “Alacrity”	PARSING ERROR	
commission merchant and proprietor	PARSING ERROR	
Concord	SHIP	
Darvel Bay, British North Borneo	ADDED	
Dindings	ADDED	
Direcijao Obras Publicas. Macao	PARSING ERROR	
director de las Obras del Puerto de Manila	NO LOCATION	
Dong Hoi, Annam	ADDED	
Donghoi, Annam	ADDED	
Donghoi, Tonkin	ADDED	
E. E. A. & C. Telegraph Co.’s S	SHIP	
E. E. A. & C. Telegraph Co.’s steamer	SHIP	
Ecole de l’Etoile du Matin	NO LOCATION	
Edgar	SHIP	
Emperor Nicolas ”	SHIP	
Fatshan, Canton	ADDED	
Feucho-fu, Shansi		couldn't be found
Food	OCR ERROR	
Forfait	SHIP	
Fred. Bornemann. Shanghai and Hongkong	PARSING ERROR	
French cruiser "Alger"	SHIP	
French cruiser "Duguay-Trouin"	SHIP	
French cruiser "Forfait"	SHIP	
French cruiser "Isly"	SHIP	
French cruiser “ Duguay-Trouin ”	SHIP	
French cruiser “Alger”	SHIP	
French cruiser “Forfait”	SHIP	
French cruiser “Isly ”	SHIP	
French Flagship "Bayard"	SHIP	
French flagship "Bayard"	SHIP	
French flagship “Bayard”	SHIP	
French gunboat "Comète"	SHIP	
French gunboat "Inconstant"	SHIP	
French gunboat "Lion"	SHIP	
French gunboat "Lutin"	SHIP	
French gunboat “Inconstant”	SHIP	
French gunboat “Lion”	SHIP	
French gunboat, "Lutin"	SHIP	
French Squadron	NO LOCATION	
Fuchukphai, Kwangtung		couldn't be found
Fukien	ADDED	
Fukuyama, Japan	ADDED	
Fusan, Corea	ADDED	
Giadinh, Cochin-China	ADDED	
Gifu, Japan	ADDED	
Gocong, Cochin-China	ADDED	
Gouverneur General de l'lndo-China	NO LOCATION	
Governor of Hongkong	NO LOCATION	
H	OCR ERROR	
H, I. German M’s flagshinp "Kaiser"	SHIP	
H. B. M	SHIP	
H. B. M. cruiser "Edgar"	SHIP	
H. B. M. despatch vessel "Alacrity"	SHIP	
H. B. M. gunboat, "Firebrand"	SHIP	
H. B. M. S "Pigmy"	SHIP	
H. B. M. S. "Æolus"	SHIP	
H. B. M. S. "Alacrity"	SHIP	
H. B. M. S. "Archer"	SHIP	
H. B. M. S. "Centurion"	SHIP	
H. B. M. S. "Daphne"	SHIP	
H. B. M. S. "Edgar"	SHIP	
H. B. M. S. "Esk"	SHIP	
H. B. M. S. "Firebrand"	SHIP	
H. B. M. S. "Humber"	SHIP	
H. B. M. S. "Linnet"	SHIP	
H. B. M. S. "Peacock"	SHIP	
H. B. M. S. "Pigmy"	SHIP	
H. B. M. S. "Pique"	SHIP	
H. B. M. S. "Plover"	SHIP	
H. B. M. S. "Porpoise"	SHIP	
H. B. M. S. "Rainbow"	SHIP	
H. B. M. S. "Rattler"	SHIP	
H. B. M. S. "Redpole"	SHIP	
H. B. M. S. "Spartan"	SHIP	
H. B. M. S. "Swift"	SHIP	
H. B. M. S. "Undaunted"	SHIP	
H. B. M. S. "Victor Emanuel"	SHIP	
H. B. M. S. “	SHIP	
H. B. M. S. “ Alacrity ”	SHIP	
H. B. M. S. “ Edgar ”	SHIP	
H. B. M. S. “ Linnet ”	SHIP	
H. B. M. S. “ ltedpole ”	SHIP	
H. B. M. S. “ Spartan ”	SHIP	
H. B. M. S. “Centurion”	SHIP	
H. B. M. S. “Edgar”	SHIP	
H. B. M. S. “Esk”	SHIP	
H. B. M. S. “Porpoise”	SHIP	
H. B. M. S. “Undaunted”	SHIP	
H. B. M. S. despatch vessel "Alacrity"	SHIP	
H. I. G. M. flagship "Kaiser"	SHIP	
H. I. G. M. gunboat "Iltis"	SHIP	
H. I. G. M’s. flagship "Kaiser"	SHIP	
H. I. German flagship "Kaiser"	SHIP	
H. I. German M. flagship "Kaiser"	SHIP	
H. I. German M. gunboat "Iltis"	SHIP	
H. I. German M. gunboat "lltis"	SHIP	
H. I. German M. S. "Arcona"	SHIP	
H. I. German M. S. "Cormoran"	SHIP	
H. I. German M. S. "Irene"	SHIP	
H. I. German M. S. "Prinzess Wilhelm"	SHIP	
H. I. German M. S. “ Arcona ”	SHIP	
H. I. German M. S. “ Irene ”	SHIP	
H. I. German M. S. “ Prinzess Wilhelm ”	SHIP	
H. I. German M. S. “Prinzess Wilhelm ”	SHIP	
H. I. German M. S. “Prinzess Wilhelm”	SHIP	
H. I. German M.'s flagship "Kaiser"	SHIP	
H. I. German M.S. "Cormoran"	SHIP	
H. I. German M.S. "Irene"	SHIP	
H. I. German M's. flag ship "Kaiser"	SHIP	
H. I. German M's. flagship "Kaiser"	SHIP	
H. I. German M’s flagship "Kaiser"	SHIP	
H. I. German M’s. flagship "Kaiser"	SHIP	
H. I. German M’s. flagship “Kaiser”	SHIP	
H. I. German M’s. gunboat, "Iltis"	SHIP	
H. M. S. "Archer"	SHIP	
H. M. S. "Centurion"	SHIP	
H. M. S. "Edgar"	SHIP	
H. M. S. despatch vessel "Alacrity"	SHIP	
H.B. M. S. “Redpole”	SHIP	
H.B.M. cruiser "Linnet"	SHIP	
H.B.M. cruiser "Rattler"	SHIP	
H.B.M. gunboat "Firebrand"	SHIP	
H.B.M. gunboat "Pigmy"	SHIP	
H.B.M.S. "Æolus"	SHIP	
H.B.M.S. "Centurion"	SHIP	
H.B.M.S. "Edgar"	SHIP	
H.B.M.S. "Esk"	SHIP	
H.B.M.S. "Firebrand"	SHIP	
H.B.M.S. "Peacock"	SHIP	
H.B.M.S. "Pigmy"	SHIP	
H.B.M.S. "Pique"	SHIP	
H.B.M.S. "Plover"	SHIP	
H.B.M.S. "Porpoise"	SHIP	
H.B.M.S. "Rainbow"	SHIP	
H.B.M.S. "Rattler"	SHIP	
H.B.M.S. "Redpole"	SHIP	
H.B.M.S. "Spartan"	SHIP	
H.B.M.S. "Swift"	SHIP	
